modelName,baseDate,trainRMSE,trainR2,testRMSE,testR2
ranger,2018-12-31,0.8072729540760119,0.6667082999506316,0.8208977637812325,0.6760197075216723
cubist,2018-12-31,0.8035201969987958,0.666830053015163,0.8530005498949358,0.6639834288641212
