id_grid_best,prop_cum_area_best,PAI_best,rank,id_grid_model,PAI,RRI,PEI
10923,5.5166593934176424e-5,195.3952357472752,1,10922,121.72162226879439,1.10175701754386,0.6229508196721312
10922,1.1033318786835285e-4,158.55842900803478,2,12189,70.4704128924599,1.8337803030303035,0.4444444444444445
12649,1.6549978180252929e-4,140.9408257849198,3,12401,68.33494583511263,1.8512320312500008,0.48484848484848486
16668,2.206663757367057e-4,129.72962373384664,4,10923,100.10001831315329,1.1994025333333336,0.771604938271605
6464,2.758329696708821e-4,119.79970191718185,5,12649,101.2211385182606,1.1052255274261604,0.8449197860962567
14139,3.3099956360505857e-4,111.04428698205804,6,11101,85.9525490582276,1.2254657349896483,0.7740384615384615
4349,3.86166157539235e-4,104.33281908753804,7,6464,85.11361557141262,1.17575582437276,0.8157894736842106
12401,4.413327514734114e-4,99.29921816664806,8,14140,82.08201501678569,1.17006081300813,0.8266129032258064
14140,4.964993454075878e-4,95.02828405195352,9,4349,80.08001465052263,1.1540544301994302,0.8426966292134831
8551,5.516659393417642e-4,90.97089664299371,10,12613,75.59553383009336,1.181341970882225,0.8309859154929577
10498,6.068325332759407e-4,87.65121603566293,11,8551,73.6736134784808,1.1739688608492957,0.8405315614617941
8824,6.619991272101171e-4,84.61788214738557,12,14135,71.53814642113353,1.175334098737084,0.8454258675078863
11103,7.171657211442936e-4,82.05121501115087,13,11977,69.23841266706725,1.1844418331964597,0.8438438438438438
18989,7.7233231507847e-4,79.851214608664,14,16818,66.12321209714582,1.2132124168219325,0.8280802292263609
30263,8.274989090126464e-4,77.94454759317536,15,11978,62.996278191744466,1.2487544806605824,0.8082191780821918
11148,8.826655029468228e-4,76.07601391799649,16,11591,60.66061109777089,1.2741713209782517,0.7973684210526316
12651,9.378320968809993e-4,74.42730773401514,17,14360,59.91869331497928,1.2693241412675376,0.8050632911392405
14135,9.929986908151756e-4,72.96179112603173,18,9018,57.479654960264014,1.3037328133682624,0.7878048780487804
14360,0.0010481652847493521,71.65053942415182,19,9017,56.30889451215696,1.3125590684016584,0.7858823529411765
17092,0.0011033318786835284,70.47041289245992,20,16668,58.29825066558047,1.2506507660608623,0.8272727272727272
22965,0.001158498472617705,69.40267936378628,21,17308,57.20001046465901,1.2588760769230771,0.824175824175824
6488,0.0012136650665518815,68.28641249290018,22,17097,56.05601025536583,1.2694270446220448,0.8208955223880597
9230,0.0012688316604860578,67.267212306439,23,13481,54.59367955305194,1.2880023695054947,0.8115942028985507
7333,0.0013239982544202343,66.19947877776536,24,9858,53.38667643368175,1.302646036401099,0.8064516129032259
8552,0.0013791648483544106,65.21716393138563,25,14139,53.94189786859204,1.2757022515291518,0.8271119842829076
11356,0.0014343314422885871,64.31041176549662,26,10498,53.961609872198316,1.2624837851456003,0.8390804597701149
11977,0.0014894980362227636,63.470826426710524,27,11924,53.167255625216214,1.269374039483582,0.8376644612719547
17734,0.00154466463015694,62.69121146926628,28,2648,52.487631960569686,1.2894684025503562,0.8372406710676058
21912,0.0015998312240911164,61.96536306061129,29,12224,51.32625019850153,1.306048762439449,0.8283054865392602
5402,0.0016549978180252928,61.18113119299928,30,28680,50.13516965098586,1.3242157605863965,0.8194547677262076
6868,0.0017101644119594693,60.44749492974933,31,18989,50.17158731814091,1.3109915546779611,0.8300027548941301
8377,0.0017653310058936456,59.75971093295251,32,17520,49.294712802208196,1.3223747698400163,0.824882049003123
9474,0.0018163236880686807,59.249453889926926,33,20274,48.56967976013092,1.3307397783697783,0.8197489862161972
12436,0.0018714902820028572,58.63599915688184,34,23423,47.12611089481038,1.3602524383024384,0.8037061118157719
12653,0.0019266568759370335,58.05767492224316,35,12229,46.3206134770971,1.3728543488115346,0.7978379006588613
18986,0.00198182346987121,57.51154747879162,36,6868,46.09948616358127,1.3679747311655206,0.8015692184353282
4152,0.0020369900638053866,56.908250544791464,37,20272,45.016323910727344,1.3895036133930796,0.7910333471821595
7348,0.002082057866385126,56.61002469596671,38,11999,44.24597217093653,1.4025899889053257,0.7815925255035072
9017,0.0021372244603193023,56.058292324990624,39,8377,44.095694481528895,1.3967446767674683,0.7866043122735503
10727,0.002192391054253479,55.53432616443664,40,11949,43.62981404503769,1.4012802986365487,0.7856368674727447
11145,0.0022475576481876553,55.03608163859833,41,11148,43.73851460125145,1.3878651983301984,0.7947243571674699
11362,0.0023027242421218316,54.561710100184264,42,19197,43.380500203104454,1.389365871879303,0.7950722241559278
11739,0.002357890836056008,54.109535910038794,43,6488,43.41483690955675,1.3787584084312459,0.8023509383214302
12613,0.0024130574299901847,53.67803666084186,44,11969,42.78707923311005,1.3896368485288297,0.7971058908777718
12652,0.002468224023924361,53.26582605289681,45,18986,42.689674868356875,1.3832528960815096,0.8014458430807577
14111,0.0025233906178585373,52.871639016144364,46,24511,41.894783198499034,1.4000534168093215,0.792386693094694
16245,0.002578557211792714,52.49431874200721,47,10717,41.54600017901633,1.4020148480307573,0.7914380293837441
17308,0.0026337238057268903,52.13280534503858,48,8552,41.54800681811515,1.3925451804533115,0.7969647239033383
18561,0.0026888903996610666,51.78612592030982,49,10504,40.825605694487955,1.407323833303793,0.7883502573123876
21773,0.002744056993595243,51.45338580011738,50,22965,40.97108503663778,1.3925483359291628,0.7962757824295464
24023,0.0027992235875294196,51.133760844557024,51,8804,40.541592649813715,1.3976810738143812,0.7928537228673098
24742,0.002854390181463596,50.82649062609544,52,19414,40.25277811117202,1.3981190703364432,0.7919645369044102
31614,0.0029095567753977722,50.530872389484344,53,13928,39.914090959982246,1.4006052997688287,0.7898951486990062
