modelName,baseDate,trainRMSE,trainR2,testRMSE,testR2
ranger,2019-12-31,0.8033923022083613,0.6821223502682531,0.8958705593980735,0.5536374814899465
cubist,2019-12-31,0.8092202365988751,0.672694657184786,0.9035223685457093,0.5484070763420383
