id_grid,crime_count,crime_freq,crime_count_6M,crime_freq_6M,crime_count_1Y,crime_freq_1Y,crime_count_2Y,crime_freq_2Y,crime_count_3Y,crime_freq_3Y
1655,1,1,0,0,0,0,1,1,0,0
1666,0,0,0,0,0,0,0,0,0,0
1667,0,0,0,0,0,0,0,0,0,0
1668,0,0,0,0,0,0,0,0,0,0
1669,0,0,0,0,0,0,0,0,0,0
1670,0,0,0,0,0,0,0,0,0,0
1671,0,0,0,0,0,0,0,0,0,0
1672,0,0,0,0,0,0,0,0,0,0
1673,0,0,0,0,0,0,0,0,0,0
1674,0,0,0,0,0,0,0,0,0,0
1675,0,0,0,0,0,0,0,0,0,0
1847,0,0,0,0,0,0,0,0,0,0
1848,0,0,0,0,0,0,0,0,0,0
1849,0,0,0,0,0,0,0,0,0,0
1850,0,0,0,0,0,0,0,0,0,0
1851,0,0,0,0,0,0,0,0,0,0
1852,0,0,0,0,0,0,0,0,0,0
1853,0,0,0,0,0,0,0,0,0,0
1854,0,0,0,0,0,0,0,0,0,0
1855,0,0,0,0,0,0,0,0,0,0
1856,0,0,0,0,0,0,0,0,0,0
1857,0,0,0,0,0,0,0,0,0,0
1858,0,0,0,0,0,0,0,0,0,0
1859,0,0,0,0,0,0,0,0,0,0
1860,0,0,0,0,0,0,0,0,0,0
1861,0,0,0,0,0,0,0,0,0,0
1862,0,0,0,0,0,0,0,0,0,0
1863,1,1,0,0,0,0,0,0,0,0
1864,0,0,0,0,0,0,0,0,0,0
1865,0,0,0,0,0,0,0,0,1,1
1866,0,0,0,0,0,0,1,1,1,1
1867,1,1,0,0,0,0,0,0,0,0
1869,0,0,0,0,0,0,0,0,0,0
1870,0,0,0,0,0,0,0,0,0,0
1878,0,0,0,0,0,0,0,0,0,0
1879,0,0,0,0,0,0,0,0,0,0
1880,0,0,0,0,0,0,0,0,0,0
1881,0,0,0,0,0,0,0,0,0,0
1882,0,0,0,0,0,0,0,0,0,0
1883,0,0,0,0,0,0,0,0,0,0
1884,0,0,0,0,0,0,0,0,0,0
1885,0,0,0,0,0,0,0,0,0,0
1886,0,0,0,0,0,0,0,0,0,0
1887,0,0,0,0,0,0,0,0,0,0
1888,0,0,0,0,0,0,0,0,0,0
2052,0,0,0,0,0,0,0,0,0,0
2053,0,0,0,0,0,0,0,0,0,0
2054,0,0,0,0,0,0,0,0,0,0
2055,0,0,0,0,0,0,0,0,0,0
2056,0,0,0,0,0,0,0,0,0,0
2057,0,0,0,0,0,0,0,0,0,0
2059,0,0,0,0,0,0,0,0,0,0
2060,0,0,0,0,0,0,0,0,0,0
2061,0,0,0,0,0,0,0,0,0,0
2062,0,0,0,0,0,0,0,0,0,0
2063,0,0,0,0,0,0,0,0,0,0
2064,1,1,0,0,0,0,0,0,0,0
2065,1,1,0,0,0,0,0,0,0,0
2066,0,0,0,0,0,0,0,0,0,0
2067,0,0,0,0,0,0,0,0,0,0
2068,0,0,0,0,0,0,0,0,0,0
2069,0,0,0,0,0,0,0,0,0,0
2070,0,0,0,0,0,0,0,0,0,0
2071,0,0,0,0,0,0,0,0,0,0
2072,0,0,0,0,0,0,0,0,0,0
2073,1,1,1,2,0,0,0,0,1,1
2074,1,1,0,0,0,0,2,2,2,2
2075,2,2,0,0,0,0,3,3,1,1
2076,0,0,1,2,0,0,0,0,1,1
2077,0,0,0,0,1,2,0,0,0,0
2078,0,0,0,0,0,0,0,0,0,0
2079,0,0,0,0,0,0,0,0,0,0
2080,0,0,0,0,0,0,0,0,0,0
2081,0,0,0,0,0,0,0,0,0,0
2082,0,0,0,0,0,0,0,0,0,0
2091,0,0,0,0,0,0,0,0,0,0
2092,0,0,0,0,0,0,0,0,0,0
2093,0,0,0,0,0,0,0,0,0,0
2094,0,0,0,0,0,0,0,0,0,0
2095,0,0,0,0,0,0,0,0,0,0
2096,0,0,0,0,0,0,0,0,0,0
2097,0,0,0,0,0,0,0,0,0,0
2098,0,0,0,0,0,0,0,0,0,0
2099,0,0,0,0,0,0,0,0,0,0
2100,0,0,0,0,0,0,0,0,0,0
2101,0,0,0,0,0,0,0,0,0,0
2264,0,0,0,0,0,0,0,0,0,0
2265,0,0,0,0,0,0,0,0,0,0
2266,0,0,0,0,0,0,0,0,0,0
2267,0,0,0,0,0,0,0,0,0,0
2268,0,0,0,0,0,0,0,0,0,0
2269,0,0,0,0,0,0,0,0,0,0
2270,0,0,0,0,0,0,0,0,0,0
2271,0,0,0,0,0,0,0,0,0,0
2272,0,0,0,0,0,0,0,0,0,0
2273,0,0,0,0,0,0,0,0,0,0
2274,0,0,0,0,0,0,0,0,0,0
2275,0,0,0,0,0,0,0,0,0,0
2276,0,0,1,2,0,0,1,1,0,0
2277,0,0,1,2,0,0,0,0,0,0
2278,1,1,0,0,0,0,0,0,0,0
2281,0,0,0,0,0,0,0,0,0,0
2282,0,0,0,0,0,0,0,0,0,0
2283,0,0,0,0,0,0,0,0,0,0
2284,1,1,0,0,0,0,1,1,0,0
2285,0,0,0,0,0,0,0,0,0,0
2286,0,0,0,0,0,0,0,0,0,0
2287,4,4,2,4,3,6,3,3,2,2
2288,0,0,0,0,0,0,0,0,0,0
2289,0,0,0,0,0,0,0,0,0,0
2290,0,0,0,0,0,0,0,0,1,1
2291,0,0,0,0,0,0,0,0,0,0
2292,0,0,0,0,0,0,0,0,0,0
2293,0,0,0,0,0,0,0,0,0,0
2294,0,0,0,0,0,0,0,0,0,0
2303,0,0,0,0,0,0,0,0,0,0
2304,0,0,0,0,0,0,0,0,0,0
2305,0,0,0,0,0,0,0,0,0,0
2306,0,0,0,0,0,0,0,0,0,0
2307,0,0,0,0,0,0,0,0,0,0
2308,0,0,0,0,0,0,0,0,0,0
2309,0,0,0,0,0,0,0,0,0,0
2310,0,0,0,0,0,0,0,0,0,0
2311,0,0,0,0,0,0,0,0,0,0
2312,0,0,0,0,0,0,0,0,0,0
2313,0,0,0,0,0,0,0,0,0,0
2476,0,0,0,0,0,0,0,0,0,0
2477,0,0,0,0,0,0,0,0,0,0
2478,0,0,0,0,0,0,0,0,0,0
2479,0,0,0,0,0,0,0,0,0,0
2480,0,0,0,0,0,0,0,0,0,0
2481,0,0,0,0,0,0,0,0,0,0
2482,0,0,0,0,0,0,0,0,0,0
2483,0,0,0,0,0,0,0,0,0,0
2484,0,0,0,0,0,0,0,0,0,0
2485,0,0,0,0,0,0,0,0,0,0
2486,0,0,0,0,0,0,0,0,0,0
2487,0,0,0,0,0,0,0,0,0,0
2488,0,0,0,0,0,0,0,0,0,0
2489,1,1,0,0,0,0,0,0,0,0
2490,0,0,0,0,0,0,0,0,0,0
2491,2,2,0,0,0,0,0,0,1,1
2492,0,0,1,2,1,2,0,0,0,0
2493,0,0,0,0,0,0,0,0,0,0
2494,0,0,0,0,0,0,0,0,0,0
2496,4,4,1,2,1,2,3,3,1,1
2497,0,0,0,0,0,0,0,0,0,0
2498,0,0,0,0,0,0,0,0,0,0
2499,0,0,0,0,0,0,0,0,0,0
2501,0,0,0,0,0,0,0,0,0,0
2502,0,0,0,0,0,0,0,0,0,0
2503,0,0,0,0,0,0,0,0,3,3
2504,3,3,1,2,0,0,1,1,0,0
2505,1,1,0,0,1,2,0,0,2,2
2506,0,0,0,0,0,0,0,0,0,0
2507,0,0,0,0,0,0,0,0,0,0
2508,0,0,0,0,0,0,0,0,0,0
2515,0,0,0,0,0,0,0,0,0,0
2516,0,0,0,0,0,0,0,0,0,0
2517,0,0,0,0,0,0,0,0,0,0
2518,0,0,0,0,0,0,0,0,0,0
2519,0,0,0,0,0,0,0,0,0,0
2520,0,0,0,0,0,0,0,0,0,0
2521,0,0,0,0,0,0,0,0,0,0
2522,0,0,0,0,0,0,0,0,0,0
2523,0,0,0,0,0,0,0,0,0,0
2524,0,0,0,0,0,0,0,0,0,0
2525,0,0,0,0,0,0,0,0,0,0
2646,0,0,0,0,0,0,0,0,0,0
2647,0,0,0,0,0,0,0,0,0,0
2648,12,12,16,32,3,6,9,9,9,9
2649,0,0,0,0,0,0,0,0,0,0
2650,0,0,0,0,0,0,0,0,0,0
2653,0,0,0,0,0,0,0,0,0,0
2654,0,0,0,0,0,0,0,0,0,0
2655,0,0,0,0,0,0,0,0,0,0
2687,0,0,0,0,0,0,0,0,0,0
2688,0,0,0,0,0,0,0,0,0,0
2689,2,2,0,0,0,0,1,1,1,1
2690,0,0,0,0,0,0,0,0,0,0
2691,0,0,0,0,0,0,0,0,0,0
2692,0,0,1,2,1,2,0,0,0,0
2693,0,0,0,0,0,0,0,0,0,0
2694,0,0,0,0,0,0,0,0,0,0
2695,0,0,0,0,0,0,0,0,0,0
2696,0,0,0,0,0,0,0,0,0,0
2697,0,0,0,0,0,0,0,0,0,0
2698,0,0,0,0,0,0,0,0,0,0
2699,0,0,0,0,0,0,0,0,0,0
2700,0,0,0,0,0,0,0,0,0,0
2701,0,0,0,0,0,0,0,0,0,0
2702,0,0,1,2,0,0,0,0,2,2
2703,0,0,0,0,1,2,2,2,1,1
2704,0,0,0,0,0,0,0,0,0,0
2705,0,0,0,0,0,0,0,0,0,0
2706,0,0,0,0,0,0,1,1,0,0
2707,0,0,0,0,0,0,0,0,0,0
2708,0,0,0,0,0,0,0,0,0,0
2709,0,0,0,0,0,0,0,0,0,0
2710,1,1,1,2,3,6,1,1,2,2
2711,0,0,0,0,0,0,0,0,0,0
2713,0,0,0,0,0,0,0,0,0,0
2714,0,0,0,0,0,0,0,0,0,0
2715,0,0,0,0,0,0,0,0,0,0
2716,1,1,0,0,0,0,3,3,0,0
2717,1,1,0,0,0,0,3,3,3,3
2718,0,0,2,4,1,2,0,0,0,0
2719,1,1,0,0,1,2,0,0,0,0
2720,0,0,0,0,0,0,1,1,0,0
2721,0,0,0,0,0,0,0,0,0,0
2727,0,0,0,0,0,0,0,0,0,0
2728,0,0,0,0,0,0,0,0,0,0
2729,0,0,0,0,0,0,0,0,0,0
2730,0,0,0,0,0,0,0,0,0,0
2731,0,0,0,0,0,0,0,0,0,0
2732,0,0,0,0,0,0,0,0,0,0
2733,0,0,0,0,0,0,0,0,0,0
2734,0,0,0,0,0,0,0,0,0,0
2735,0,0,0,0,0,0,0,0,0,0
2736,0,0,0,0,0,0,0,0,0,0
2737,0,0,0,0,0,0,0,0,0,0
2857,0,0,0,0,0,0,0,0,0,0
2858,0,0,0,0,0,0,0,0,0,0
2859,0,0,0,0,1,2,1,1,0,0
2860,0,0,0,0,0,0,0,0,0,0
2861,0,0,0,0,0,0,0,0,0,0
2862,1,1,0,0,0,0,0,0,2,2
2863,0,0,0,0,0,0,0,0,0,0
2864,0,0,0,0,0,0,0,0,0,0
2865,0,0,0,0,0,0,0,0,0,0
2866,0,0,0,0,0,0,0,0,0,0
2867,0,0,0,0,0,0,0,0,0,0
2899,0,0,0,0,0,0,0,0,0,0
2900,0,0,0,0,0,0,0,0,0,0
2901,0,0,0,0,0,0,0,0,0,0
2902,1,1,0,0,0,0,0,0,0,0
2903,0,0,0,0,0,0,0,0,0,0
2906,0,0,0,0,0,0,0,0,0,0
2907,0,0,0,0,0,0,0,0,0,0
2908,0,0,0,0,0,0,0,0,0,0
2909,0,0,0,0,0,0,0,0,0,0
2910,0,0,1,2,0,0,1,1,4,4
2911,0,0,0,0,0,0,0,0,0,0
2912,1,1,0,0,0,0,0,0,1,1
2913,0,0,0,0,0,0,1,1,0,0
2914,0,0,0,0,0,0,0,0,0,0
2915,0,0,0,0,2,4,0,0,1,1
2916,0,0,0,0,0,0,0,0,1,1
2917,0,0,0,0,0,0,0,0,0,0
2918,1,1,1,2,1,2,1,1,1,1
2919,0,0,0,0,0,0,0,0,0,0
2920,1,1,0,0,0,0,2,2,2,2
2921,1,1,1,2,0,0,0,0,0,0
2922,0,0,1,2,0,0,2,2,3,3
2923,0,0,0,0,0,0,0,0,0,0
2925,0,0,0,0,0,0,0,0,0,0
2926,0,0,1,2,0,0,2,2,1,1
2927,0,0,0,0,0,0,0,0,0,0
2928,1,1,0,0,0,0,1,1,1,1
2929,0,0,0,0,0,0,1,1,0,0
2930,1,1,0,0,0,0,1,1,0,0
2931,1,1,2,4,0,0,0,0,1,1
2932,2,2,2,4,0,0,0,0,1,1
2933,0,0,0,0,0,0,0,0,0,0
2941,0,0,0,0,0,0,0,0,0,0
2942,0,0,0,0,0,0,0,0,0,0
2943,0,0,0,0,0,0,0,0,0,0
2944,0,0,0,0,0,0,0,0,0,0
2945,0,0,0,0,0,0,0,0,0,0
2946,0,0,0,0,0,0,0,0,0,0
2947,0,0,0,0,0,0,0,0,0,0
3069,0,0,0,0,0,0,0,0,0,0
3070,0,0,0,0,0,0,0,0,0,0
3071,0,0,0,0,0,0,0,0,0,0
3072,0,0,0,0,0,0,0,0,0,0
3073,0,0,0,0,0,0,0,0,0,0
3074,0,0,0,0,0,0,0,0,0,0
3075,0,0,0,0,0,0,0,0,0,0
3076,0,0,0,0,0,0,0,0,0,0
3077,0,0,0,0,0,0,0,0,0,0
3078,0,0,0,0,0,0,0,0,0,0
3079,0,0,0,0,0,0,0,0,0,0
3084,0,0,0,0,0,0,0,0,0,0
3085,0,0,0,0,0,0,0,0,0,0
3110,0,0,0,0,0,0,0,0,0,0
3111,0,0,0,0,0,0,0,0,0,0
3112,0,0,0,0,0,0,0,0,0,0
3113,0,0,0,0,0,0,0,0,0,0
3114,0,0,0,0,0,0,0,0,0,0
3115,0,0,0,0,0,0,0,0,0,0
3116,0,0,0,0,0,0,0,0,0,0
3117,0,0,0,0,0,0,0,0,0,0
3118,0,0,0,0,0,0,0,0,0,0
3119,0,0,0,0,1,2,0,0,0,0
3120,0,0,0,0,0,0,0,0,0,0
3121,0,0,0,0,0,0,0,0,0,0
3122,3,3,2,4,0,0,4,4,0,0
3123,2,2,0,0,1,2,0,0,0,0
3124,1,1,0,0,0,0,0,0,0,0
3125,3,3,3,6,0,0,1,1,2,2
3126,0,0,0,0,0,0,0,0,1,1
3127,0,0,0,0,0,0,0,0,1,1
3128,0,0,0,0,0,0,1,1,0,0
3129,1,1,0,0,1,2,2,2,0,0
3130,0,0,0,0,0,0,1,1,0,0
3131,0,0,0,0,0,0,1,1,0,0
3132,0,0,0,0,0,0,0,0,0,0
3133,1,1,0,0,0,0,0,0,0,0
3134,0,0,0,0,0,0,0,0,0,0
3135,0,0,0,0,0,0,0,0,0,0
3137,0,0,0,0,0,0,0,0,0,0
3138,0,0,2,4,0,0,0,0,0,0
3139,0,0,0,0,1,2,0,0,0,0
3140,0,0,0,0,0,0,0,0,0,0
3141,0,0,0,0,0,0,0,0,2,2
3142,0,0,0,0,0,0,0,0,0,0
3143,3,3,1,2,1,2,1,1,3,3
3144,0,0,0,0,0,0,0,0,1,1
3145,0,0,0,0,0,0,0,0,0,0
3154,0,0,0,0,0,0,0,0,0,0
3281,0,0,0,0,0,0,0,0,0,0
3282,0,0,0,0,0,0,0,0,0,0
3283,2,2,1,2,1,2,0,0,1,1
3284,0,0,0,0,0,0,0,0,0,0
3285,0,0,0,0,0,0,0,0,0,0
3286,0,0,0,0,0,0,0,0,0,0
3287,0,0,0,0,0,0,0,0,0,0
3288,0,0,0,0,0,0,0,0,0,0
3289,0,0,0,0,0,0,0,0,0,0
3290,0,0,0,0,0,0,0,0,0,0
3291,0,0,0,0,0,0,0,0,0,0
3295,0,0,0,0,0,0,0,0,0,0
3296,0,0,0,0,0,0,0,0,0,0
3297,0,0,0,0,0,0,0,0,0,0
3298,0,0,0,0,0,0,0,0,0,0
3322,0,0,0,0,0,0,0,0,0,0
3323,0,0,0,0,0,0,0,0,0,0
3324,0,0,0,0,0,0,0,0,0,0
3325,0,0,0,0,0,0,0,0,0,0
3326,0,0,0,0,0,0,0,0,0,0
3327,0,0,0,0,0,0,0,0,0,0
3328,0,0,0,0,0,0,0,0,0,0
3329,0,0,0,0,0,0,0,0,0,0
3330,0,0,0,0,0,0,0,0,0,0
3331,0,0,0,0,0,0,0,0,0,0
3332,0,0,0,0,0,0,0,0,0,0
3333,0,0,0,0,0,0,0,0,0,0
3334,0,0,0,0,0,0,0,0,0,0
3335,0,0,0,0,0,0,0,0,0,0
3336,3,3,2,4,0,0,3,3,0,0
3337,0,0,1,2,0,0,0,0,0,0
3338,0,0,1,2,0,0,1,1,0,0
3339,0,0,0,0,0,0,0,0,0,0
3340,0,0,0,0,0,0,0,0,0,0
3341,0,0,0,0,0,0,0,0,0,0
3342,0,0,0,0,0,0,0,0,0,0
3345,0,0,0,0,0,0,0,0,0,0
3346,0,0,0,0,0,0,1,1,1,1
3347,0,0,0,0,0,0,0,0,0,0
