id_grid_best,prop_cum_area_best,PAI_best,rank,id_grid_model,PAI,RRI,PEI
10922,5.5166593934176424e-5,144.11601300916126,1,10922,144.11601300916126,1.2172456359863282,1
12401,1.1033318786835285e-4,139.7925326188864,2,12189,131.14557183833674,1.2815387851589328,0.9381443298969072
12189,1.6549978180252929e-4,132.58673196842832,3,12401,132.58673196842832,1.2268920290297356,1
8377,2.206663757367057e-4,127.54267151310769,4,11101,110.96933001705415,1.3343391666164646,0.8700564971751412
10923,2.758329696708821e-4,122.21037903176874,5,10923,108.9517058349259,1.2551148126995753,0.8915094339622641
6464,3.3099956360505857e-4,115.29281040732899,6,12613,100.40082239638232,1.271599025817579,0.8708333333333333
8551,3.86166157539235e-4,109.52816988696254,7,11977,93.05776840020125,1.2924943603245558,0.849624060150376
12649,4.413327514734114e-4,104.4841094316419,8,12649,90.07250813072578,1.266388084411621,0.8620689655172414
14135,4.964993454075878e-4,100.56095129972584,9,14140,86.78986561218376,1.252299523441554,0.8630573248407643
4349,5.516659393417642e-4,97.13419276817469,10,13928,80.70496728513031,1.2823346751076834,0.8308605341246291
9017,6.068325332759407e-4,94.06845212779797,11,24511,76.2504723375744,1.3006938986761873,0.8105849582172702
11591,6.619991272101171e-4,91.51366826081738,12,22407,71.81781314956534,1.3302234215879918,0.784776902887139
14140,7.171657211442936e-4,89.13021112258895,13,2648,70.83589197471642,1.3402224476314435,0.7947461481639411
16818,7.7233231507847e-4,87.08724786125029,14,5867,70.0329788753404,1.3511195212417508,0.8041703073097315
12613,8.274989090126464e-4,85.12452501741124,15,18986,67.54602495290794,1.356325960444833,0.7934966443465286
10498,8.826655029468228e-4,83.22699751279063,16,10710,64.81825346719778,1.3720492260101584,0.7788128300223286
11978,9.378320968809993e-4,81.55270853812534,17,10711,62.07146343742181,1.3929344068254743,0.7611208082488617
13481,9.929986908151756e-4,80.06445167175625,18,16818,61.98204194680531,1.3589405820697467,0.774151832087926
14360,0.0010481652847493521,78.73285342289967,19,14360,61.58659009997053,1.3349081430679712,0.7822222544020981
16668,0.0011033318786835284,77.53441499892875,20,38099,60.03452275967558,1.3385022180038795,0.7742951663529678
17097,0.001158498472617705,76.45011356771697,21,11978,59.774285449164694,1.3160653114318848,0.7818730759139896
18989,0.0012136650665518815,75.46438499388806,22,20272,58.99604588595102,1.306746544235054,0.7817733609136174
28680,0.0012688316604860578,74.56437194821821,23,9018,58.417281142429864,1.2950642600556435,0.7834476388133221
11969,0.0013239982544202343,73.49916663467224,24,23423,57.51642398038767,1.2913641888519813,0.7825452534213507
11977,0.0013791648483544106,72.51917774620993,25,14135,57.997170134304284,1.2584962883933646,0.7997494171441483
12224,0.0014343314422885871,71.61457261839858,26,8552,56.8418766449675,1.2629241809308769,0.793719414452865
12229,0.0014894980362227636,70.77697527783252,27,17520,56.433352457439966,1.2522629355642119,0.7973405508770731
17308,0.00154466463015694,69.99920631873546,28,12224,56.160572814032776,1.2398153419997509,0.8023029940983953
9018,0.0015998312240911164,69.17568624439738,29,14139,55.80508308145394,1.2301291617440566,0.8067152797631069
9858,0.0016549978180252928,68.40706750834853,30,8551,56.45922511103711,1.1993494466545278,0.8253419882988948
11101,0.0017101644119594693,67.6880370778512,31,9858,56.117364933945304,1.1909651991062131,0.8290588316130674
14139,0.0017653310058936456,67.01394604925999,32,12229,55.889609185132336,1.180713423801334,0.8339996743968714
17520,0.001820497599827822,66.38070902240155,33,18161,54.87166890936903,1.187634360906744,0.8266207113101405
6488,0.0018756641937619986,65.69994710711762,34,9017,55.128473507158745,1.1679982839140501,0.8390946406285065
19414,0.001930830787696175,65.05808587270707,35,6464,55.875179479846565,1.1390312364302486,0.8588506521567847
20272,0.001985997381630351,64.45188359576377,36,4349,56.17071050043201,1.1204849157097385,0.8715138699860113
20274,0.002041163975564528,63.87844900946605,37,7349,55.336840095777404,1.124808737601357,0.8662834015831712
22965,0.0020963305694987043,63.33519519086823,38,11368,54.702483693432185,1.1256564098503836,0.8636980359589904
10717,0.0021514971634328806,62.745894894757896,39,16668,54.70409408133846,1.113992685785635,0.8718354272114894
11148,0.002206663757367057,62.186059613453075,40,28680,54.70562241634141,1.1028919091960727,0.8797087764748263
11924,0.0022613301850163857,61.66717004257765,41,20274,54.42065033835126,1.0979759642952367,0.8824898288794008
21557,0.002316496778950562,61.159567934019364,42,11591,54.638586480973984,1.0826927719213773,0.8933775748697179
6868,0.0023716633728847383,60.60853536490185,43,11999,54.1640399628671,1.0815697172727032,0.8936701676878546
11949,0.0024268299668189146,60.08255489288271,44,16823,53.24496006356035,1.0896891915007438,0.8861966698734322
19197,0.0024819965607530913,59.57995604159263,45,11924,52.964472060649484,1.0855236593061122,0.8889646045336976
23423,0.0025371631546872676,59.099213622112764,46,11526,52.303471023242835,1.0893526100502526,0.8850112855591836
24284,0.002592329748621444,58.638932273880876,47,24742,51.795716681408464,1.0903497711989567,0.8832991098727673
2648,0.002628443142354575,58.559205476926834,48,19197,51.49248777594379,1.0872841502817887,0.8793235385721305
11999,0.0026836097362887513,58.066429498665144,49,12652,50.90310254579431,1.090644633825956,0.8766356565279168
13034,0.0027387763302229276,57.593505285582886,50,13034,50.571783594786396,1.0887533746383808,0.8780813625429011
13694,0.0027939429241571044,57.13925691430052,51,11148,50.3683875776583,1.0844246510221094,0.8815023207810103
18986,0.0028491095180912807,56.702599537877894,52,12145,49.66670087980938,1.0911934216457206,0.8759157654955755
20072,0.002904276112025457,56.282530735849924,53,12651,49.15738951099552,1.0940828869238446,0.8734040361778553
